RK,TIERS,PLAYER NAME,TEAM,FAN PTS,PASS YDS,PASS TDS,REC,REC YDS,REC TDS,ATT,RUSH YDS,RUSH TDS
"158",9,"Chuba Hubbard",CAR,"5.8","0.0","0.0","1.0","12.2","0.0","6.8","33.3","0.1"
"159",9,"Alec Pierce",IND,"5.7","0.0","0.0","2.6","37.1","0.1","0.0","0.0","0.0"
"160",9,"Isaiah Hodgins",NYG,"9.1","0.0","0.0","4.1","43.6","0.4","0.0","0.0","0.0"
"161",9,"Curtis Samuel",WAS,"8.5","0.0","0.0","3.8","38.6","0.2","2.2","11.0","0.1"
"162",9,"K.J. Osborn",MIN,"7.4","0.0","0.0","3.5","38.2","0.3","0.2","0.4","0.0"
"163",9,"Rashid Shaheed",NO,"7.2","0.0","0.0","2.3","40.7","0.2","0.3","4.8","0.1"
"164",9,"Irv Smith Jr.",CIN,"5.3","0.0","0.0","3.1","22.8","0.3","0.0","0.0","0.0"
"165",9,"Roschon Johnson",CHI,"0","0","0","0","0","0","0","0","0"
"166",9,"Sam LaPorta",DET,"0","0","0","0","0","0","0","0","0"
"167",9,"Jerome Ford",CLE,"0.1","0.0","0.0","0.0","0.0","0.0","0.6","0.9","0.0"
"168",9,"Jordan Love",GB,"2.9","48.8","0.3","0.0","0.0","0.0","0.3","-0.3","0.0"
"169",9,"Van Jefferson",LAR,"6.7","0.0","0.0","2.4","36.9","0.3","0.0","0.0","0.0"
"170",9,"Brock Purdy",SF,"12.3","152.7","1.4","0.0","0.0","0.0","2.4","1.4","0.1"
"171",9,"Zamir White",LV,"0.6","0.0","0.0","0.0","0.0","0.0","1.5","6.4","0.0"
"172",9,"Jonathan Mingo",CAR,"0","0","0","0","0","0","0","0","0"
"173",9,"Marquez Valdes-Scantling",KC,"6.0","0.0","0.0","2.5","40.4","0.1","0.1","-0.2","0.0"
"174",9,"Hunter Renfrow",LV,"6.1","0.0","0.0","3.6","33.0","0.2","0.0","0.0","0.0"
"175",10,"Hunter Henry",NE,"5.2","0.0","0.0","2.6","31.8","0.1","0.0","0.0","0.0"
"176",10,"Darius Slayton",NYG,"8.1","0.0","0.0","3.5","55.7","0.2","0.0","0.0","0.0"
"177",10,"Clyde Edwards-Helaire",KC,"9.0","0.0","0.0","1.7","15.1","0.3","7.1","30.2","0.3"
"178",10,"Hayden Hurst",CAR,"5.9","0.0","0.0","3.9","31.4","0.1","0.0","0.0","0.0"
"179",10,"DeVante Parker",NE,"6.7","0.0","0.0","2.4","41.5","0.2","0.0","0.0","0.0"
"180",10,"San Francisco 49ers",SF,"9.6","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"181",10,"Mike Gesicki",NE,"4.8","0.0","0.0","1.9","21.3","0.3","0.0","0.0","0.0"
"182",10,"John Metchie III",HOU,"0","0","0","0","0","0","0","0","0"
"183",10,"Dallas Cowboys",DAL,"10.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"184",10,"Dawson Knox",BUF,"7.4","0.0","0.0","3.2","34.5","0.4","0.0","0.0","0.0"
"185",10,"Bryce Young",CAR,"0","0","0","0","0","0","0","0","0"
"186",10,"Trey McBride",ARI,"3.9","0.0","0.0","2.4","22.1","0.1","0.0","0.0","0.0"
"187",10,"Jayden Reed",GB,"0","0","0","0","0","0","0","0","0"
"188",10,"Cordarrelle Patterson",ATL,"11.1","0.0","0.0","1.6","9.4","0.0","11.1","53.5","0.6"
"189",10,"Rashee Rice",KC,"0","0","0","0","0","0","0","0","0"
"190",10,"Philadelphia Eagles",PHI,"8.9","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"191",10,"Buffalo Bills",BUF,"8.9","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"192",10,"Parris Campbell",NYG,"6.9","0.0","0.0","3.7","36.6","0.2","0.3","3.4","0.0"
"193",10,"Kyler Murray",ARI,"18.9","215.3","1.3","0.0","0.0","0.0","6.1","38.0","0.3"
"194",10,"Justin Tucker",BAL,"9.6","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"195",10,"Chase Claypool",CHI,"5.5","0.0","0.0","3.1","30.1","0.1","0.6","3.9","0.0"
"196",10,"Marvin Mims Jr.",DEN,"0","0","0","0","0","0","0","0","0"
"197",10,"New England Patriots",NE,"10.9","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"198",10,"Robert Woods",HOU,"5.2","0.0","0.0","3.1","31.0","0.1","0.0","0.0","0.0"
"199",10,"Ryan Tannehill",TEN,"13.9","211.3","1.1","0.0","0.0","0.0","2.8","8.2","0.2"
"200",10,"Taysom Hill",NO,"8.8","0.0","0.0","0.6","4.8","0.1","6.0","35.9","0.4"
"201",10,"Tyler Bass",BUF,"8.6","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"202",10,"New York Jets",NYJ,"6.9","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"203",10,"Mecole Hardman Jr.",NYJ,"10.2","0.0","0.0","3.1","37.1","0.5","0.5","3.9","0.3"
"204",10,"Noah Fant",SEA,"5.7","0.0","0.0","2.9","28.6","0.2","0.0","0.0","0.0"
"205",10,"Tyjae Spears",TEN,"0","0","0","0","0","0","0","0","0"
"206",10,"Wan'Dale Robinson",NYG,"6.7","0.0","0.0","3.8","37.8","0.2","0.3","-0.2","0.0"
"207",10,"Jalin Hyatt",NYG,"0","0","0","0","0","0","0","0","0"
"208",10,"Baltimore Ravens",BAL,"7.9","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"209",10,"Joshua Kelley",LAC,"4.8","0.0","0.0","1.2","8.4","0.0","5.8","23.9","0.2"
"210",10,"Joshua Palmer",LAC,"8.3","0.0","0.0","4.5","48.1","0.2","0.1","0.3","0.0"
"211",10,"Harrison Butker",KC,"7.8","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"212",10,"Allen Robinson II",PIT,"6.8","0.0","0.0","3.3","33.9","0.3","0.0","0.0","0.0"
"213",10,"Denver Broncos",DEN,"6.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"214",10,"Daniel Carlson",LV,"9.5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"215",10,"Evan McPherson",CIN,"7.8","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"216",10,"Tyquan Thornton",NE,"4.6","0.0","0.0","1.8","20.6","0.2","0.3","1.3","0.1"
"217",10,"Kansas City Chiefs",KC,"7.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"218",10,"Corey Davis",NYJ,"6.3","0.0","0.0","2.5","41.2","0.2","0.0","0.0","0.0"
"219",10,"Michael Carter",NYJ,"6.6","0.0","0.0","2.6","18.0","0.0","7.1","25.1","0.2"
"220",10,"New Orleans Saints",NO,"6.8","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"221",10,"Sam Howell",WAS,"19.3","169.0","1.0","0.0","0.0","0.0","5.0","35.0","1.0"
"222",10,"Leonard Fournette",FA,"11.9","0.0","0.0","4.6","32.7","0.2","11.8","41.8","0.2"
"223",10,"C.J. Stroud",HOU,"0","0","0","0","0","0","0","0","0"
"224",10,"Zach Ertz",ARI,"9.2","0.0","0.0","4.7","40.6","0.4","0.0","0.0","0.0"
"225",11,"Josh Downs",IND,"0","0","0","0","0","0","0","0","0"
"226",11,"Pittsburgh Steelers",PIT,"6.3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"227",11,"Jimmy Garoppolo",LV,"15.3","221.5","1.5","0.0","0.0","0.0","2.1","3.0","0.2"
"228",11,"Mac Jones",NE,"12.9","214.1","1.0","0.0","0.0","0.0","3.4","7.3","0.1"
"229",11,"Miami Dolphins",MIA,"6.3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"230",11,"Terrace Marshall Jr.",CAR,"5.3","0.0","0.0","2.2","37.7","0.1","0.0","0.0","0.0"
"231",11,"Kareem Hunt",FA,"6.4","0.0","0.0","2.1","12.4","0.1","7.2","27.5","0.2"
"232",11,"Younghoe Koo",ATL,"8.9","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"233",11,"Cincinnati Bengals",CIN,"6.8","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"234",11,"Jelani Woods",IND,"5.1","0.0","0.0","2.1","26.0","0.3","0.0","0.0","0.0"
"235",11,"Michael Mayer",LV,"0","0","0","0","0","0","0","0","0"
"236",11,"Jason Sanders",MIA,"7.9","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"237",11,"Cleveland Browns",CLE,"6.3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"238",11,"Tampa Bay Buccaneers",TB,"6.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"239",11,"Washington Commanders",WAS,"6.9","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"240",11,"Jason Myers",SEA,"9.4","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"241",11,"Chase Edmonds",TB,"5.1","0.0","0.0","1.2","12.1","0.1","5.2","18.8","0.2"
"242",11,"Brandon McManus",JAC,"7.9","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"243",11,"Jake Elliott",PHI,"7.6","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"244",11,"Chase Brown",CIN,"0","0","0","0","0","0","0","0","0"
